count_1;160,160,160;0,68,27;0,109,44;35,139,69;65,174,118;102,194,164;153,216,201;204,236,230;229,245,249;247,252,253
count_2;160,160,160;77,0,75;129,15,124;136,65,157;140,107,177;140,150,198;158,188,218;191,211,230;224,236,244;247,252,253
count_3;160,160,160;8,64,129;8,104,172;43,140,190;78,179,211;123,204,196;168,221,181;204,235,197;224,243,219;247,252,240
count_4;160,160,160;127,0,0;179,0,0;215,48,31;239,101,72;252,141,89;253,187,132;253,212,158;254,232,200;255,247,236
count_5;160,160,160;2,56,88;4,90,141;5,112,176;54,144,192;116,169,207;166,189,219;208,209,230;236,231,242;255,247,251
count_6;160,160,160;1,70,54;1,108,89;2,129,138;54,144,192;103,169,207;166,189,219;208,209,230;236,226,240;255,247,251
count_7;160,160,160;103,0,31;152,0,67;206,18,86;231,41,138;223,101,176;201,148,199;212,185,218;231,225,239;247,244,249
count_8;160,160,160;73,0,106;122,1,119;174,1,126;221,52,151;247,104,161;250,159,181;252,197,192;253,224,221;255,247,243
count_9;160,160,160;0,69,41;0,104,55;35,132,67;65,171,93;120,198,121;173,221,142;217,240,163;247,252,185;255,255,229
count_10;160,160,160;8,29,88;37,52,148;34,94,168;29,145,192;65,182,196;127,205,187;199,233,180;237,248,177;255,255,217
count_11;160,160,160;102,37,6;153,52,4;204,76,2;236,112,20;254,153,41;254,196,79;254,227,145;255,247,188;255,255,229
count_12;160,160,160;128,0,38;189,0,38;227,26,28;252,78,42;253,141,60;254,178,76;254,217,118;255,237,160;255,255,204
count_13;160,160,160;8,48,107;8,81,156;33,113,181;66,146,198;107,174,214;158,202,225;198,219,239;222,235,247;247,251,255
count_14;160,160,160;0,68,27;0,109,44;35,139,69;65,171,93;116,196,118;161,217,155;199,233,192;229,245,224;247,252,245
count_15;160,160,160;127,39,4;166,54,3;217,72,1;241,105,19;253,141,60;253,174,107;253,208,162;254,230,206;255,245,235
count_16;160,160,160;63,0,125;84,39,143;106,81,163;128,125,186;158,154,200;188,189,220;218,218,235;239,237,245;252,251,253
count_17;160,160,160;103,0,13;165,15,21;203,24,29;239,59,44;251,106,74;252,146,114;252,187,161;254,224,210;255,245,240
